"sorting_1","sorting_2","odd","odd 2","even","even 2"
"United States","North Carolina","","","East Carolina University","Graduate"
"United States","North Carolina","North Carolina A&T State University","Graduate","",""
"United States","North Carolina","","","North Carolina State University - (NC State)","Undergraduate"
"United States","North Carolina","University of North Carolina-Chapel Hill","Undergraduate","",""
"United States","North Carolina","","","University of North Carolina-Charlotte","Graduate"
"United States","North Carolina","University of North Carolina-Greensboro","Graduate","",""
"United States","North Carolina","","","University of North Carolina-Greensboro","Undergraduate"
"United States","North Carolina","Wake Forest University","Graduate MSA Business","",""
"United States","Ohio","","","Case Western Reserve University","Undergraduate"
"United States","Ohio","Columbus State Community College","2-Year Institution","",""
"United States","Ohio","","","Miami University","Undergraduate and Graduate"
"United States","Ohio","Ohio State University","Fischer School of Business","",""
"United States","Ohio","","","Ohio State University","Graduate School"
"United States","Ohio","Ohio Wesleyan University","Undergraduate","",""
"United States","Oklahoma","","","Oklahoma State University Stillwater","Undergraduate"
"United States","Oklahoma","University of Oklahoma","Graduate","",""
"United States","Oklahoma","","","University of Oklahoma Health and Science Center","Undergraduate"
"United States","Oregon","Oregon State University","International Exchange - Graduate","",""
"United States","Oregon","","","Oregon State University","International Exchange - Undergraduate"
"United States","Pennsylvania","Carnegie Mellon University","College of Science, Department of Chemistry","",""
"United States","Pennsylvania","","","Carnegie Mellon University","School of Design"
"United States","Pennsylvania","Carnegie Mellon University","School of Drama","",""
"United States","Pennsylvania","","","Drexel University","Undergraduate"
"United States","Pennsylvania","Lehigh University School of Business","MBA Program","",""
"United States","Pennsylvania","","","Perkiomen School","6-12 Grade"
"United States","Pennsylvania","Pittsburgh State University","Undergraduate","",""
"United States","Pennsylvania","","","The Pennsylvania State University","Undergraduate"
"United States","Pennsylvania","University of Pennsylvania","Undergraduate","",""
"United States","Pennsylvania","","","University of Pittsburgh Katz School of Business","Graduate"
"United States","Rhode Island","Brown University","Undergraduate","",""
"United States","Rhode Island","","","University of Rhode Island Graduate School","Graduate School"
"United States","South Carolina","Clemson University","Graduate","",""
"United States","South Carolina","","","Clemson University","Undergraduate"
"United States","South Carolina","University of South Carolina","Graduate","",""
"United States","South Dakota","","","South Dakota State University","Undergraduate"
"United States","South Dakota","University of South Dakota","The Graduate School","",""
"United States","Tennessee","","","Belmont University","Undergraduate"
"United States","Tennessee","Middle Tennessee State University","Graduate","",""
"United States","Tennessee","","","Middle Tennessee State University","Undergraduate"
"United States","Tennessee","Tennessee Tech University","Undergraduate","",""
"United States","Tennessee","","","Vanderbilt University","Undergraduate"
"United States","Texas","Baylor University","Graduate","",""
"United States","Texas","","","Midwestern State University","McAda Graduate School"
"United States","Texas","Texas Christian University","Graduate","",""
"United States","Texas","","","Texas Christian University","Undergraduate"
"United States","Texas","University of Texas - Dallas","Graduate","",""
"United States","Texas","","","University of Texas - Dallas","Undergraduate"
"United States","Texas","University of Texas Austin","Graduate","",""
"United States","Texas","","","University of Texas Austin","Undergraduate"
"United States","Virginia","Episcopal High School","6 - 12 Grade","",""
"United States","Virginia","","","George Mason University","Graduate"
"United States","Virginia","George Mason University","Undergraduate","",""
"United States","Virginia","","","James Madison University","Graduate School"
"United States","Virginia","Liberty University","Graduate","",""
"United States","Virginia","","","Liberty University","Undergraduate"
"United States","Virginia","Northern Virginia Community College","Undergraduate","",""
"United States","Virginia","","","Virginia Polytechnic Institute & State University","Undergraduate"
"United States","Virginia","Virginia University of Integrative Medicine","Graduate","",""
"United States","Virginia","","","William and Mary","Undergraduate"
"United States","Washington","Cascadia College","Undergraduate","",""
"United States","Washington","","","Edmonds Community College","Undergraduate"
"United States","Washington","Seattle Central College","Undergraduate","",""
"United States","Washington","","","Shoreline Community College","Undergraduate"
"United States","Washington","Spokane Community College","Undergraduate","",""
"United States","Washington","","","University of Washington","Department of Human-Computer Interaction and Design - Graduate"
"United States","Washington","University of Washington","Information School, Master of Science in Information Management","",""
"United States","Washington","","","Washington State University","Graduate"
"United States","West Virginia","West Virginia University","Graduate","",""
"United States","Wisconsin","","","Marquette University","All Programs"
"United States","Wisconsin","Mid State Technical School","All Programs","",""
"United States","Wisconsin","","","Saint Martin's University","Undergraduate"
"United States","Wisconsin","University of Wisconsin Law School","Graduate","",""
"United States","Wisconsin","","","University of Wisconsin, Stout","Undergraduate"
"United States","Wisconsin","University of Wisconsin, Superior","Undergraduate","",""
